en000000_r0	Hello, thank you for calling. How may I help you today?
en000001_r0	Please hold for a moment while I transfer your call.
en000002_r0	I'm sorry, the line is busy. Could you please try again later?
en000003_r0	Your appointment is confirmed for next Monday at ten a.m.
en000004_r0	May I have your order number and email address, please?
en000005_r0	Thank you for your patience. Have a wonderful day.
en000006_r0	The meeting has been rescheduled to three p.m. this afternoon.
en000007_r0	Could you please spell your last name for me?
en000008_r0	Our office hours are from nine to six, Monday to Friday.
en000009_r0	Please leave a message after the tone and we will call you back.
en000010_r0	Your package has been shipped and will arrive tomorrow.
en000011_r0	I will connect you to the technical support team now.
en000012_r0	Welcome to our customer service center, this is Amy speaking.
en000013_r0	Can you confirm your phone number, please?
en000014_r0	The product is currently out of stock, sorry for the inconvenience.
en000015_r0	Hello, thank you for calling. How may I help you today?
en000016_r0	Please hold for a moment while I transfer your call.
en000017_r0	I'm sorry, the line is busy. Could you please try again later?
en000018_r0	Your appointment is confirmed for next Monday at ten a.m.
en000019_r0	May I have your order number and email address, please?
en000020_r0	Thank you for your patience. Have a wonderful day.
en000021_r0	The meeting has been rescheduled to three p.m. this afternoon.
en000022_r0	Could you please spell your last name for me?
en000023_r0	Our office hours are from nine to six, Monday to Friday.
en000024_r0	Please leave a message after the tone and we will call you back.
en000025_r0	Your package has been shipped and will arrive tomorrow.
en000026_r0	I will connect you to the technical support team now.
en000027_r0	Welcome to our customer service center, this is Amy speaking.
en000028_r0	Can you confirm your phone number, please?
en000029_r0	The product is currently out of stock, sorry for the inconvenience.
en000030_r0	Hello, thank you for calling. How may I help you today?
en000031_r0	Please hold for a moment while I transfer your call.
en000032_r0	I'm sorry, the line is busy. Could you please try again later?
en000033_r0	Your appointment is confirmed for next Monday at ten a.m.
en000034_r0	May I have your order number and email address, please?
en000035_r0	Thank you for your patience. Have a wonderful day.
en000036_r0	The meeting has been rescheduled to three p.m. this afternoon.
en000037_r0	Could you please spell your last name for me?
en000038_r0	Our office hours are from nine to six, Monday to Friday.
en000039_r0	Please leave a message after the tone and we will call you back.
en000040_r0	Your package has been shipped and will arrive tomorrow.
en000041_r0	I will connect you to the technical support team now.
en000042_r0	Welcome to our customer service center, this is Amy speaking.
en000043_r0	Can you confirm your phone number, please?
en000044_r0	The product is currently out of stock, sorry for the inconvenience.
en000045_r0	Hello, thank you for calling. How may I help you today?
en000046_r0	Please hold for a moment while I transfer your call.
en000047_r0	I'm sorry, the line is busy. Could you please try again later?
en000048_r0	Your appointment is confirmed for next Monday at ten a.m.
en000049_r0	May I have your order number and email address, please?
en000050_r0	Thank you for your patience. Have a wonderful day.
en000051_r0	The meeting has been rescheduled to three p.m. this afternoon.
en000052_r0	Could you please spell your last name for me?
en000053_r0	Our office hours are from nine to six, Monday to Friday.
en000054_r0	Please leave a message after the tone and we will call you back.
en000055_r0	Your package has been shipped and will arrive tomorrow.
en000056_r0	I will connect you to the technical support team now.
en000057_r0	Welcome to our customer service center, this is Amy speaking.
en000058_r0	Can you confirm your phone number, please?
en000059_r0	The product is currently out of stock, sorry for the inconvenience.
en000060_r0	Hello, thank you for calling. How may I help you today?
en000061_r0	Please hold for a moment while I transfer your call.
en000062_r0	I'm sorry, the line is busy. Could you please try again later?
en000063_r0	Your appointment is confirmed for next Monday at ten a.m.
en000064_r0	May I have your order number and email address, please?
en000065_r0	Thank you for your patience. Have a wonderful day.
en000066_r0	The meeting has been rescheduled to three p.m. this afternoon.
en000067_r0	Could you please spell your last name for me?
en000068_r0	Our office hours are from nine to six, Monday to Friday.
en000069_r0	Please leave a message after the tone and we will call you back.
en000070_r0	Your package has been shipped and will arrive tomorrow.
en000071_r0	I will connect you to the technical support team now.
en000072_r0	Welcome to our customer service center, this is Amy speaking.
en000073_r0	Can you confirm your phone number, please?
en000074_r0	The product is currently out of stock, sorry for the inconvenience.
en000075_r0	Hello, thank you for calling. How may I help you today?
en000076_r0	Please hold for a moment while I transfer your call.
en000077_r0	I'm sorry, the line is busy. Could you please try again later?
en000078_r0	Your appointment is confirmed for next Monday at ten a.m.
en000079_r0	May I have your order number and email address, please?
en000080_r0	Thank you for your patience. Have a wonderful day.
