utt000000	幫您轉接給 Rita 邱先生,他的分機是 1399。
utt000001	系統顯示您的 Excel 報表 帳號需要更新,請聯絡品保部。
utt000002	系統顯示您的 QR Code 帳號需要更新,請聯絡品保部。
utt000003	您的ERP 系統設定已完成,如有問題請撥分機 911。
utt000004	您好,技術部的 Daniel 陳助理 為您服務。
utt000005	Kelly 的 Teams 會議 已經準備好,請到 4 樓領取。
utt000006	我們已經把 CRM 系統 寄到您的信箱,請查收。
utt000007	請問您的訂單編號是?方便提供一下嗎?編號是 473960。
utt000008	我們已經把 OTP 驗證碼 寄到您的信箱,請查收。
utt000009	麻煩您撥打 04-2469-9815 聯絡 Oscar 楊小姐,謝謝。
utt000010	Henry 楊經理 現在不在位子上,需要幫您留言嗎?
utt000011	您的快遞單號是 6879142802,預計明天送達。
utt000012	您的Excel 報表設定已完成,如有問題請撥分機 698。
utt000013	請問是 Emily 先生嗎?郭先生要找您。
utt000014	謝謝您的來電,祝您有美好的一天,再見。
utt000015	您好,請問要預約 Kelly 課長 的時間嗎?
utt000016	不好意思,Leo 剛離開,請問要留言給郭襄理嗎?
utt000017	請問是 Steve 先生嗎?邱組長要找您。
utt000018	您好,這裡是鼎新資訊,很高興為您服務。
utt000019	謝謝您的來電,祝您有美好的一天,再見。
utt000020	Linda 莊先生 現在不在位子上,需要幫您留言嗎?
utt000021	David 的 Excel 報表 已經準備好,請到 8 樓領取。
utt000022	Jerry 劉助理 現在不在位子上,需要幫您留言嗎?
utt000023	幫您轉接給 Ivy 蘇小姐,他的分機是 8486。
utt000024	Peter 的 Server 主機 已經準備好,請到 11 樓領取。
utt000025	不好意思,Jerry 剛離開,請問要留言給謝課長嗎?
utt000026	請問您要找哪一位?是 Oscar 還是 Nancy?
utt000027	您好,這裡是宏達電子,很高興為您服務。
utt000028	Tony 洪組長 現在不在位子上,需要幫您留言嗎?
utt000029	不好意思,Kelly 剛離開,請問要留言給鄭工程師嗎?
utt000030	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt000031	您的OTP 驗證碼設定已完成,如有問題請撥分機 680。
utt000032	您好,採購部的 Ivy 張小姐 為您服務。
utt000033	您的快遞單號是 6406638629,預計明天送達。
utt000034	Charlie 目前正在開會,大約 35 分鐘後回來。
utt000035	幫您轉接給 Nancy 曾主任,請稍候。
utt000036	幫您轉接給 Frank 呂助理,他的分機是 270。
utt000037	幫您轉接給 Kevin 洪襄理,請稍候。
utt000038	系統顯示您的 Wi-Fi 帳號需要更新,請聯絡品保部。
utt000039	請問您要找哪一位?是 Karen 還是 Emily?
utt000040	您好,請問要預約 Jason 組長 的時間嗎?
utt000041	系統顯示您的 CRM 系統 帳號需要更新,請聯絡法務部。
utt000042	謝謝您的來電,祝您有美好的一天,再見。
utt000043	麻煩您撥打 02-6135-9060 聯絡 Brian 廖工程師,謝謝。
utt000044	請問是 Joyce 先生嗎?李襄理要找您。
utt000045	您的快遞單號是 7462729157,預計明天送達。
utt000046	幫您轉接給 Betty 蘇協理,請稍候。
utt000047	Joyce 楊先生 現在不在位子上,需要幫您留言嗎?
utt000048	Wendy 李先生 請您回電,電話是 0958-114-208。
utt000049	我們已經把 Wi-Fi 寄到您的信箱,請查收。
utt000050	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000051	請問您的訂單編號是?方便提供一下嗎?編號是 777665。
utt000052	請問您的訂單編號是?方便提供一下嗎?編號是 906914。
