en00000	Your appointment is confirmed for tomorrow at 4:30 AM.
en00001	We have sent the QR code to your email. Please check your inbox.
en00002	Ms. Wu's extension is 9528. Let me transfer you now.
en00003	I'm sorry, Thomas is on another line. Would you like to leave a message?
en00004	I have scheduled a follow up call with Ms. Lin for 2:00 PM.
en00005	Could you please provide your order number? It should be 7072202.
en00006	Thank you for waiting. Michael will be with you shortly.
en00007	Your meeting with Mr. Lee has been moved to 12:30 PM.
en00008	Please press one for the quality assurance team, or press two to speak with Kevin.
en00009	Ms. Huang's extension is 9491. Let me transfer you now.
en00010	I have scheduled a follow up call with Mr. Yang for 9:30 AM.
en00011	Your meeting with Amanda has been moved to 10:45 PM.
en00012	Please press one for accounting, or press two to speak with Grace.
en00013	Cynthia from the billing office will call you back at 8:00 AM.
en00014	Ms. Huang from human resources will call you back at 4:00 PM.
en00015	We need to update your OTP code. Please contact the quality assurance team at extension 4886.
en00016	Could you please provide your order number? It should be 1347548.
en00017	Could you please provide your order number? It should be 8827015.
en00018	Ms. Wu from the logistics team will call you back at 6:00 PM.
en00019	Please press one for the reception, or press two to speak with Cynthia.
en00020	Could you please provide your order number? It should be 198623.
en00021	Jennifer's extension is 6178. Let me transfer you now.
en00022	Your meeting with Daniel has been moved to 4:15 PM.
en00023	Your reference number is 4271264. Please keep it for your records.
en00024	Please hold for a moment while I transfer your call to Sarah.
en00025	Your meeting with Grace has been moved to 12:45 PM.
en00026	Your reference number is 3889255. Please keep it for your records.
en00027	Your meeting with Grace has been moved to 8:30 PM.
en00028	Could you please provide your order number? It should be 6037412.
en00029	Thank you for waiting. Thomas will be with you shortly.
en00030	Could you please provide your order number? It should be 5471304.
en00031	We need to update your OTP code. Please contact accounting at extension 3102.
en00032	Could you please provide your order number? It should be 3821202.
en00033	I'm sorry, David is on another line. Would you like to leave a message?
en00034	Your reference number is 9066143. Please keep it for your records.
en00035	Please hold for a moment while I transfer your call to Kelly.
en00036	We need to update the order form. Please contact technical support at extension 6350.
en00037	Could you please provide your order number? It should be 9080691.
en00038	Your call is important to us. Please stay on the line.
en00039	Jennifer from human resources will call you back at 11:45 AM.
en00040	Please press one for the billing office, or press two to speak with Sarah.
en00041	I have scheduled a follow up call with Brian for 10:30 AM.
en00042	Amanda's extension is 2353. Let me transfer you now.
en00043	Please hold for a moment while I transfer your call to Amanda.
en00044	Jennifer's extension is 6785. Let me transfer you now.
en00045	Please press one for the marketing team, or press two to speak with Kevin.
en00046	I have scheduled a follow up call with Michael for 2:15 PM.
en00047	Your reference number is 1826915. Please keep it for your records.
en00048	Could you please provide your order number? It should be 5466039.
en00049	Grace from the reception will call you back at 3:45 PM.
en00050	Thomas's extension is 8897. Let me transfer you now.
en00051	Sorry, the line to the IT help desk is busy. Could you try again later?
en00052	We need to update the Zoom link. Please contact the reception at extension 5381.
en00053	Your meeting with Mr. Lee has been moved to 1:45 AM.
en00054	Brian from the marketing team will call you back at 4:00 AM.
en00055	David from the quality assurance team will call you back at 3:45 AM.
en00056	Grace from human resources will call you back at 1:15 PM.
en00057	I have scheduled a follow up call with Mr. Wang for 6:15 AM.
en00058	Your meeting with Sarah has been moved to 9:30 PM.
